nickname,person
Sloppy Steve,Steve Bannon
AOCof Tennessee,Aftyn Behn
Crooked Joe,Joe Biden
Joe Hiden,Joe Biden
Sleepy Joe,Joe Biden
Slow Joe,Joe Biden
Biden,Joe Biden
Crooked Joe Biden ,Joe Biden
Autopen,Joe Biden
Mini Mike,Michael Bloomberg
Da NangDick,Richard Blumenthal
Fat Alvin,Alvin Bragg
"Gov. Jerry ""Moonbeam"" Brown",Jerry Brown
My Bush,George P. Bush
Low Energy Jeb,Jeb Bush
Alfred E. Neuman,Pete Buttigieg
Coco Chow,Elaine Chao
Low IQWar Hawk,Liz Cheney
Sloppy Chris Christie,Chris Christie
Hillary,Hillary Clinton
Crazy Hillary,Hillary Clinton
Crooked Hillary,Hillary Clinton
Beautiful Hillary,Hillary Clinton
Leakin' James Comey,James Comey
Lyin' James Comey,James Comey
Shadey James Comey,James Comey
Slimeball James Comey,James Comey
Slippery James Comey,James Comey
Liddle' Bob Corker,Bob Corker
Lyin' Ted(retired),Ted Cruz
Rob,Ron DeSantis
Ron DeSanctimonious(retired),Ron DeSantis
Ron DeSanctus,Ron DeSantis
Meatball Ron(denied by Trump),Ron DeSantis
Tiny D,Ron DeSantis
Ditzy DeVos,Betsy DeVos
Sneaky Dianne,Dianne Feinstein
Jeff Flakey,Jeff Flake
AlFrankenstein,Al Franken
Birdbrain,Nikki Haley
Comrade Kamala,Kamala Harris
Crazy Kamala,Kamala Harris
Jamala(K!),Kamala Harris
Laffin' Kamala,Kamala Harris
Lyin' Kamala Harris,Kamala Harris
Kamabla,Kamala Harris
Aida Hutchinson,Asa Hutchinson
Peekaboo,Letitia James
Big Jim,Jim Justice
1 for 38,John Kasich
1 for 44,John Kasich
Junior,Robert F. Kennedy Jr.
My Little Communist,Zohran Mamdani
Liddle' Communist,Zohran Mamdani
Mamdani the Commie,Zohran Mamdani
Rand PaulJr.,Thomas Massie
Mad Dog,James Mattis
My Kevin,Kevin McCarthy
Broken Old Crow,Mitch McConnell
Cocaine Mitch,Mitch McConnell
EvanMcMuffin,Evan McMullin
Weird Stephen,Stephen Miller
Fat Jerry,Jerry Nadler
